extraction_id,evidence_role_type,identified_occupation,activity_description_in_pad,skills_needed_for_activity,source_material_quote,project_id,section_id,pad_id,combined_text
1,inferred,Civil Engineer,"Rehabilitate existing power plants, construct new power plants, and support rural electrification program activities described by the Government of Burundi.","['hydropower civil works', 'site supervision', 'contract administration', 'quality assurance', 'health and safety management']","Toward this objective, the CAS calls for the rehabilitation f existing power plants, the construction of new plants, the development of a rural electrification program to address the country's severe energy shortfall, and Burundi's participation i the EAPP.",P075941,0,000,"Civil Engineer Rehabilitate existing power plants, construct new power plants, and support rural electrification program activities described by the Government of Burundi. hydropower civil works, site supervision, contract administration, quality assurance, health and safety management"
2,inferred,Transmission Engineer,"Design, construct and oversee power system interconnections and the transmission backbone linking beneficiary countries.","['high-voltage transmission design', 'line routing and surveying', 'construction supervision', 'grid connection testing', 'right-of-way management']","The Project will also build important power system interconnections, which will help form the transmission backbone linking Burundi, Rwanda, and Tanzania.",P075941,0,001,"Transmission Engineer Design, construct and oversee power system interconnections and the transmission backbone linking beneficiary countries. high-voltage transmission design, line routing and surveying, construction supervision, grid connection testing, right-of-way management"
3,inferred,Hydropower Engineer,"Support design, construction and commissioning of regional hydropower generation facilities to increase reliability and lower electricity cost.","['hydraulic and turbine design', 'power plant commissioning', 'civil-hydraulic analysis', 'mechanical systems integration', 'operations troubleshooting']",Investments in power generation facilities using regional hydropower resources will increase the reliability and lower the cost of electricity.,P075941,0,002,"Hydropower Engineer Support design, construction and commissioning of regional hydropower generation facilities to increase reliability and lower electricity cost. hydraulic and turbine design, power plant commissioning, civil-hydraulic analysis, mechanical systems integration, operations troubleshooting"
4,inferred,Project Manager,Plan and implement infrastructure projects and coordinate assessment of direct benefits and externalities across beneficiary countries under the subsidiary action programs.,"['infrastructure project planning', 'stakeholder coordination', 'monitoring and evaluation', 'procurement oversight', 'financial management']","The second consists of sub-basin action programs (Subsidiary Action Programs) for collaborative physical investments in the Nile Equatorial Lakes and the Eastern Nile regions: the Nile Equatorial Lakes Subsidiary Action Program (NELSAP) and the Eastern Nile Subsidiary Action Program (ENSAP). The objective of these programs is to plan and implement infrastructure projects as well as assess the direct benefits and externalities, taking into account the interests of all beneficiary countries.",P075941,0,003,"Project Manager Plan and implement infrastructure projects and coordinate assessment of direct benefits and externalities across beneficiary countries under the subsidiary action programs. infrastructure project planning, stakeholder coordination, monitoring and evaluation, procurement oversight, financial management"
5,inferred,Technical Advisor,Provide technical advice and support to project decision-making through the Technical Advisory Committee and Secretariat structures of the regional initiative.,"['technical analysis of water and energy', 'policy advisory', 'intergovernmental coordination', 'technical report preparation']",The NBI is led by a Council of Ministers in charge of water affairs from the member states (Nile-COM) with the support of a Technical Advisory Committee (Nile-TAC) and a Secretariat (Nile-SEC).,P075941,0,004,"Technical Advisor Provide technical advice and support to project decision-making through the Technical Advisory Committee and Secretariat structures of the regional initiative. technical analysis of water and energy, policy advisory, intergovernmental coordination, technical report preparation"
1,inferred,Mechanical Engineer,Rehabilitate mechanical works during the planned major rehabilitation of the power plant.,"['mechanical systems rehabilitation', 'plant equipment inspection', 'maintenance planning', 'project supervision', 'contractor coordination']","The financial and economic analyses presented in this report also consider the need for a major rehabilitation of the mechanical and electrical works over 18 months, starting in Year 26 after the commercial operation date (COD) of the power plant.",P075941,10,005,"Mechanical Engineer Rehabilitate mechanical works during the planned major rehabilitation of the power plant. mechanical systems rehabilitation, plant equipment inspection, maintenance planning, project supervision, contractor coordination"
2,inferred,Electrical Engineer,Rehabilitate electrical works during the planned major rehabilitation of the power plant.,"['electrical systems rehabilitation', 'substation and transmission expertise', 'protection and control systems', 'equipment testing and commissioning', 'maintenance planning']","The financial and economic analyses presented in this report also consider the need for a major rehabilitation of the mechanical and electrical works over 18 months, starting in Year 26 after the commercial operation date (COD) of the power plant.",P075941,10,006,"Electrical Engineer Rehabilitate electrical works during the planned major rehabilitation of the power plant. electrical systems rehabilitation, substation and transmission expertise, protection and control systems, equipment testing and commissioning, maintenance planning"
3,inferred,Operations and Maintenance Technician,Perform operations and maintenance activities covered by the project's tariff across all project phases.,"['equipment maintenance', 'preventive maintenance procedures', 'operational monitoring', 'safety compliance', 'fault diagnosis and troubleshooting']","In all project phases, the tariff will cover operations and maintenance (O&M) costs.",P075941,10,007,"Operations and Maintenance Technician Perform operations and maintenance activities covered by the project's tariff across all project phases. equipment maintenance, preventive maintenance procedures, operational monitoring, safety compliance, fault diagnosis and troubleshooting"
4,inferred,Construction Worker,Carry out on-site construction activities during the project's construction phase.,"['civil construction work', 'site safety practices', 'concrete formwork and finishing', 'earthworks and excavation']","The Project will directly benefit the population in the project area by providing employment opportunities, both during the construction phase and during long-term plant operations.",P075941,10,008,"Construction Worker Carry out on-site construction activities during the project's construction phase. civil construction work, site safety practices, concrete formwork and finishing, earthworks and excavation"
5,inferred,Transmission Engineer,Implement transmission line and substation works linking the power station to the Rusumo Falls substation.,"['transmission line design', 'tower erection supervision', 'grid interconnection studies', 'right-of-way coordination', 'safety compliance']","The substation costs are embedded within the costs of the mechanical and electrical works for the power plant, which also include the transmission line leading from the power station to the Rusumo Falls substation.",P075941,10,009,"Transmission Engineer Implement transmission line and substation works linking the power station to the Rusumo Falls substation. transmission line design, tower erection supervision, grid interconnection studies, right-of-way coordination, safety compliance"
